Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT","SW_SPDT","SW_SPDT_PCM12",107.720000,-91.700000,-90.000000,top
"C1","100n","C_0402_1005Metric",127.910000,-95.480000,-90.000000,top
"C2","100n","C_0402_1005Metric",119.390000,-92.000000,0.000000,top
"C3","100n","C_0402_1005Metric",125.080000,-104.000000,180.000000,top
"C4","100n","C_0402_1005Metric",115.910000,-95.020000,90.000000,top
"C5","10u","C_0603_1608Metric",119.365000,-90.200000,0.000000,top
"C6","10n","C_0402_1005Metric",115.910000,-98.980000,90.000000,top
"C7","1u","C_0402_1005Metric",115.430000,-102.500000,0.000000,top
"C8","1u","C_0402_1005Metric",115.430000,-104.000000,0.000000,top
"C9","100n","C_0402_1005Metric",119.730000,-104.000000,0.000000,top
"C10","10p","C_0402_1005Metric",114.590000,-96.010000,90.000000,top
"C11","10p","C_0402_1005Metric",114.590000,-98.010000,90.000000,top
"C12","22u","C_0805_2012Metric",130.610000,-101.400000,0.000000,top
"C13","22u","C_0805_2012Metric",135.890000,-106.270000,90.000000,top
"D1","LED_RED","LED_0603_1608Metric",138.160000,-106.462500,-90.000000,top
"FB1","120R","L_0603_1608Metric",117.410000,-103.287500,90.000000,top
"I2C2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",114.470000,-109.500000,90.000000,top
"R1","10k","R_0402_1005Metric",111.730000,-90.230000,0.000000,top
"R2","1k5","R_0402_1005Metric",130.610000,-96.100000,90.000000,top
"R3","1k5","R_0402_1005Metric",138.360000,-104.000000,0.000000,top
"R4","1k5","R_0402_1005Metric",115.420000,-106.950000,180.000000,top
"R5","1k5","R_0402_1005Metric",117.620000,-106.950000,0.000000,top
"SWD","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",135.120000,-85.000000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",121.910000,-98.000000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",130.760000,-107.000000,-90.000000,top
"UART","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",122.070000,-85.000000,-90.000000,top
"USB","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",141.085000,-96.795000,90.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",112.240000,-96.930000,-90.000000,top
